Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,text
693,B000G6MBX2,AWZG8HXBE8PNB,doraima,0,0,5,1278633600,Plocky's Rice and Beans Tortilla Chips,bought chip want tri tasti sure uniqu differ flavor right thicknessbr br remain crunchi spici flavor hint tabasco paprika sauc heat rice granul embed tortilla chip howev spice lack chip like muchbr br would recommend anyon want tri red bean rice tortilla chip go ahead put ingredi nacho except chees mayb el pastor shred meat tomato etcetera
754,B0035YE9CS,A7H19XVU8BGKB,Robert Ritter,1,1,5,1314489600,Gets My Vote,bottl arriv time sushi dinner game night plan friend three soy sauc choos sampl use bluegrass everyon enjoy light smooth subtl sweet splash right everi piec rather dunkingdip friend want know found im go back order right ill order 3 extra bottl go make great littl gift that afford uniqu instead tradit bottl wine common bore
798,B00285FF6O,A372X206KVOQWQ,"Isehara ""isehara2""",0,0,5,1326931200,Heavenly Action,best caramelchocol combin ever tast caramel liquid complement ghiradelli chocol perfect tri brew attempt lose weight  end addict like mebr  ghiradelli product far better caramellohershey product everi way caramello chocol lack refin tast ghiradelli squar caramello caramel harder sublim tast compar two like compar warren buffett term wealth unfortun caramello bar regardbr  least tri ghiradelli
839,B001ELL9X6,A2SSX0VOP3CHZW,"D. Umeno ""discerning consumer""",0,0,4,1305417600,Nice flavorful tea for the purist black tea addict,grew yunnan tea child  alway mother favorit  happi find econom sourc qualiti great larg volum habitu tea drinker like tea daili regular tea yunnan nice brew dark need much time aromat flavor without addit want someth floweri yet subtl earl grey yunnan keemun may nice option explor
844,B000UWSQT0,A1A0JJPS4JAZHI,JJ,0,0,5,1233619200,This caramel is fantastic!!!,eaten reeaten way though das caramel rang remain alltim favorit one usual get rave review share isnt easi thing  tri one youll see mean ive caramel fan age werther butterscotch pinch noth come closer mother use make chewi butteri littl crunch salt spectacular ok mother didnt put salt improv
924,B000ER6YO0,AWBKE3QTB3BWX,Nessie,0,0,3,1315958400,Not as yummy as Earth's Best's other flavors,receiv dinner varieti pack tri first time today alway tri babi food make sure right temperatur put bowl microwav 69 second tast ok tast made face yucki ad sweet potato dash cinnamon credit 8 month old daughter ate bite near enthusiast flavor like mixtur organ veget bean protein
975,B001EQ4DVQ,AXZTWAX77RHPG,William Strickler,3,3,4,1194998400,Very Convenient and far better than instant coffee,dont think coffe bag good fresh ground fresh brew coffe tast far better instant coffe work water cooler hot water dispens brew hot water like tea bag make tea tast far better instant coffe high recommend coffe lover access hot water dont access coffe maker individu wrap seal bag allow take one tini tea like bag pocket purs earli morn meet
1008,B006GK4XVA,A3MDETK0D5UAIN,"xoxo ""woodfairy""",0,0,3,1349308800,Smells like roses but no safety or freshness seal.,smell first like bed fresh rose even though rose content minim found smell overwhelm like brand spice seal place loos screw lid shaker lid either open dump question minut piec rose could produc perfum odor hope chemic enhanc lid loos seal doubt safeti product
1040,B001E6KBSK,A23YPRZKGGP3QI,"Steve McDaniel ""stevemcdaniel""",1,4,3,1298073600,Cereal is great.  Price is awful.,realli like mueslix cereal amazon price awfulbr 2273 5 pack 450 boxbr product retail store around 4 box publix kroger inglesbr amazon price higher retailbr br mueslix almost never sale though unlik kellogg cerealsbr 12 time per year publix groceri kellogg cereal half pricebr 2box incred price stock next sever weeksbr br expect amazon price like 3box sinc 5 packbr boy wrong
1059,B001GCVLXG,A3SH3ZVXS16IBL,Jeff Jones,3,3,2,1314576000,Crumbled cookies are no fun to eat,goodbr br walker shortbread cooki favorit love bought highland set cooki came individu wrap two cooki end five star reviewbr br badbr br unfortun amazon ship box size contain came walker cooki compani up shipment cooki reduc crumb contact amazon problem without ever receiv respons sinc bought ship sold amazon wont purchas cooki amazon
1085,B0030N5K1I,A19U4T4I7UZGNM,3 dogs,3,3,1,1330992000,awful,jerki process hard like rock greasi stale smell stripe someth cant break anyth smaller 2 inch long certain size train treat dog 45lb dog eat anyth impress hard chew sound like crunch rock spat chew left would first time would eat someth entir live dog work lettuc zero star button
1093,B0025ULYKI,A2MZ43MMIBFL7M,John,5,5,4,1260921600,"Great Taste, Okay Crunch",first uncl ray chip year ago travel west track amazon recogn name good rememb smoki sweet enough kick there adequ season chip bag also littl stori courtesi uncl ray usual moral messag anecdot pretti funni intent problem chip textur theyr bit thin there much crunchi textur otherwis good chip well worth tri
1121,B0028SWACS,A7E85LH2I0TAP,"a metaphysician ""of erudition""",0,0,4,1318118400,Smells like Heaven...,soon open teabag envelop smell truli divin nasal candi  good bag linger scent envelop smell tea prove rather bitter may steep long see bitter abat steep less howev prefer milk cream product flower tea bitter soon dispel littl soy creamer enjoy cup lyche truli wonder flavor tea suspect flower ad lyche tea may contribut bitter straight tea definit reorder
1122,B0028SWACS,A3M6MZMHTACBVW,"R. W. ""RW""",1,2,5,1247875200,Sublime Fragrance and Taste,your look choic tea your probabl alreadi awar extraordinari compani pioneer use organ fair trade ingredi teabr br choic also innov design creativ ingredi combin design lyche white part choic new line character innov biodegrad pyramidshap tea bag allow use regular loos tea leav creativ ingredi combin healthi white tea enhanc ether marriag natur lyche flavor sublim organ osmanthus blossom flavor scent one savor celebr
1170,B001HTI226,A3JVLYSC4VG8XL,Christie Hall,2,2,5,1289088000,Spectacular tomatoes,tomato tast like home can summer heirloom tomato longer avail farmer market serv excel remind past season promis next origin bought organ tomato stepfath whose heart diseas dictat low sodium diet incred low sodium soon bought tri local organ groceri store sprout stop carri turn amazon case much stapl pantri oliv oil
1393,B00068PCTU,A2W3RO3ZLLX9N9,tropical lady,0,0,4,1339632000,Best stevia product I've found,year use synthet sweeten like equal sweet n low realiz longterm effect want find good altern nustevia lucki discoveri virtual bitter aftertas natur ive use exclus year work hot cold beverag come bulk packet portabilityi havent use bake probabl wont chemistri recip depend sugar someth similar get good effect howev daili use beverag product good
1394,B00068PCTU,AL619MA80I8RE,ASH,0,0,5,1337904000,Sweet stuff!,quit skeptic stevia first tri anoth brand thought wasnt much differ tast felt better use natur product artifici sweeten start look get bulk contain happen upon product purchas product 4 time quit pleas product bit concentr use less product drink cook competitorsbr br deliveri alway quick issu product packag
1424,B00061NJ06,A38TLK7HELDDBY,R. Shaw,4,4,4,1267488000,Costa Rican Export Coffee,first tast coffe hotel coffe shop costa rica vacat bought bag brought back home us costa rica grow arabica coffe bean fantast enjoy good coffe best morn strong flavor full bodi bitter 12 cup drip coffe maker use two round scoop 5 tbs finish last coffe look amazon found exact brand purchas costa rica bought four bag get
1425,B00061NJ06,A2646GV1ORUO88,Dr J E D,4,4,5,1179878400,Vintage Tasting Coffee,forget starbuck peet anyth els real deal like good vintag wine britt coffe truli gourmet tast realli fussi coffe general avoid trip costa rica fell love beverag use french press get full favor throw away coffe make contrapt bean deserv best tast bud deserv best dont work britt get paid say guy britt read send sampl two
1444,B001E50UEQ,A2RL1RS6PWUHWI,Jennifer Ackerman,0,0,3,1339027200,Neither great nor bad,like major meal hormel line one excess salti alon toler though meal wasnt swim sauc end like soup rice meal utter shame everyth els fair nice enorm amount sauc ruin itbr br quick easi make fill even blah meal like fit bill favorit type meal wouldnt turn lunch one hungri afternoon
1448,B001E50UEQ,ABTUNH7645QJL,Peter Reeve,0,0,2,1311552000,"Not a lot of flavor, not a lot of chicken",starchi soup rather meal portray outsid littl tast littl chicken most rice weak chicken stock thicken potato corn starchbr br repuls bad want light conveni snackbr br chef boyarde microwav meal tastier substanti also conveni pull lid come away easili hormel compleat pierc top first peel afterward easi especi hot
1454,B003OB2EP6,A2P1YV1633ZX8W,beach grandma,1,2,5,1317427200,fantastic  hot meal,want hot meal effort deliousthi way cook noodlesmicrowav left meathot dogbolonisp also microwav spoon two vegetableleft overfrozencan noodl cookadd season packetpour meatvegaft minut pour liquid outyou wonder meal less sodium pour colleg kid live meal cheapquick done microwav need get case libbi carotpea amazon about11 sinc use spoon twolast long time
1460,B0040WHJQM,A1M8Z2N79P7JIG,Sy B,10,10,5,1288396800,YUM YUM!,ive eat mcdougal right food year far best take exact way name suggest tast great cook veget broccoli cauliflow easi make problem noodl arent thick enough think one time let sit microwav littl longer becam thick id recommend product anyon want eat healthi enjoy noodl peanut flavor
1529,B0045TDE4Q,AZV26LP92E6WU,"M. Hammond ""ColemanFlGuy""",1,1,5,1347148800,easy to make also,follow easi instruct turn delici ate 6 mix 12 cup milk dri mix slowli mix togeth pour mix spray cast iron 6 cup muffin pan cook small convect oven cook nice moist insid mix fresh smell fresh date well 2013 pouch nice tough plastic one keep mix fresh easi open also
1568,B001EU5S9S,A1O2F0ZB6JVY0Y,SimpleSunny5,0,0,5,1323648000,Best Tea Ever,found tea 5 year ago stay spa resort washingtonbr br absolut love herbal help relax flavor tast color great cold well clear sinus sooth beauti deliciousbr br order tea everi year amazoncom price amaz well worth likewis ive given other gift afford tobr br tea wonder honey sugar sweeten must purchas everi household also great ontheroad tea drinker
1578,B001CWZXIY,A7C7QG6O3ZHXD,"A. C. Smith ""A.C.Smith""",3,3,2,1310860800,Didn't do well for my dog,give shihtzu fromm adult gold dog food didnt seem want eat though thought would tri someth differ found harmoni farm thought id give tri actual like cheaper food seem contain realli healthi ingredi couldnt believ gobbl week develop rash stomach took rash went away complet 2 day hair also wasnt soft kibbl well
1704,B001RVFDOO,A274W6DANB1AQ8,AubieGirl,45,46,5,1243555200,Awesome Chips!!!!!!!!!!!,pick 3 oz bag salt vinegar chip last weekend wegman blink eye bag gone nice vinegar flavor bad side blink eye gone good portion control order varieti pack 8 oz size singl serv help portion control flavor like  fair warn parmesan garlic garlic love salt pepper 100 calori pack nice chang bake chip tri  like
1708,B001RVFDOO,A2K5BNVW2P3F5L,Shannon,100,133,2,1261958400,Beware hidden ingredients,hate type mani peopl realli enjoy product take look ingredi socal allnatur product cheddar chees flavor right front flavor vouch right halfway list ingredi youll see yeast extract unfortun new msg mani peopl still unawar fact natur food compani take advantag chemic flavor enhanc whose potenti side effect scari googl msg yeast extract check 
1755,B001RVFDOO,A2I5QH4F5FDKK5,*rose*,0,0,5,1270512000,So good!,crunchi tasti dont tast like usual chip store first tri could tell right away differ greasi salti fatti chip use eat flavor crunch start appreci right away notic didnt feel sluggish icki eat wonder combo packag great flavor differ tasti love smaller packag realli hit spot without risk overindulg
1872,B001RVFDOO,A1ANPMPOYVPMSB,T. DELP,0,0,3,1349049600,popchips,realli like pop chip like flavor one like origin rest flavor realli good least famili gave away senior center senior didnt like sorri matter tast thing stick origin bestbr br snack origin fit daili ww program allot less money snack made program specificallybr br continu buy origin leav other other
1909,B005FG6KZ8,A3PCXCGFT1S1V8,Crispy Critter,0,0,5,1331337600,Too good to continue for long.,spici lover jalapentildeo cheeto tast great admit expect good one day pick small bag corner store end week 4 empti bag trash can offic snack must unfortun product good last fear meet fate wasabi funyun rare spici type chip actual tast awesom becom part standard sale roster enjoy awesom jalapentildeo cheeto long last
1918,B0016PKA1C,A32F0SQ7I9PO0L,Barbara J. Conine,1,1,1,1331164800,can't open,despit read review other hard open confid knew secret would fine matter couldnt pop clear plastic lid instruct show bottom part screw didnt husband couldnt even open everyth final got open held half aspargus want toss garbag bought one progresso open note self pay attent peopl say
1929,B0016PKA1C,A25BFBLWO5E43U,Eli B. Hariton,3,4,5,1245110400,Stylish Saver,colleg student love cook given 4 month ago impress abil keep herb fresh long period time give option cook fresh herb avail also easi clean store easili small fridg realli think must product everyonebr br interest larger one attach link compani site prepara see cool innov productsbr br 
1986,B003FA0M1O,A2RVEXGWER6F2K,"Mark Harris ""Dog Man""",0,0,3,1336867200,Just an FYI,use treat quit dog love dog also way food quit time act kind offnoth major exact right well happen quit use treat week notic dog came back life theyr eat like crazi cannot certain pin treat someth keep mind use pet seem littl kilter
2026,B001E5E29A,A2XJKCHDT5NNAA,"Monica Kim ""MK""",2,3,4,1308182400,Tasty mixture but,got gift like flavor wasnt crazi textur like fluffi pancak believ imo aunt jemima buttermilk readi mix best one easi makebr cours best tast waffl made scratch buttermilk allbr overal think buy gourmet pancak mix one biggest wast money still requir put melt butter milk etcbr stick recip aunt jemima hurri
2031,B001E5E29A,A2LBN99KCBHEDR,Jenn,0,0,5,1350259200,Best Belgian Waffles in No Time!,famili love waffl tri make homead waffl second child born got tire mix measur chose batter mix review great take time mix dough come bit runni fill bottom waffl iron complet get fluffiest belgian waffl use chefman rotat iron high recommend batter like waffl quick add littl cinnamon sugar spice
2046,B001E5E29A,ABDHC5PUDPHMP,untmom2003,0,0,5,1295740800,best ever!,great waffl mix allergi preserv find food general great tast without preserv huge challeng tri sever mix one far best total dont understand review bad tast chemicalsread label mix see one full ingredi certain kind ingredi mix need leven use real butter tub butter contain water nasti stuff best waffl ever
2081,B005HGAVGK,A23MT6Y5XQC0Z,b5784,3,3,1,1337040000,"Deceptive, more like a Christmas Sampler!",summer samplerbr br major sampler hot includ hot eggnog hot appl cider hot gingerbread coffe hot caramel appl golden french toast coffeebr br sound like perfect brew ice kcup total ice drink vanilla ice coffe peach ice tea unsweeten black ice teabr br addit 8 varieti rather 9 list descriptionbr br liter thought might mix summer drink holiday drink clear label summer samplerbr br even wors item general qualifi refund bewar
2093,B005HGAVGK,A9H9EWVCU00F8,"Jack Shepler ""Jackola""",0,0,4,1332806400,"Received 2 iced coffee, 3 iced tea, 2 holiday coffee",havent chanc tri yet thought would go ahead mention receiv 5 follow 7 flavorsbr br  sweet rasberri black ice teabr  southern sweet ice teabr  sweet lemon ice teabr  french vanilla ice coffeebr  nantucket blend ice coffeebr  gingerbread coffeebr  eggnog coffeebr br fortun im okay wonder gingerbread eggnog tast well might feel differ though might want know sinc seem varieti pack ice kcup
2094,B005HGAVGK,A13EVHSX2VCLX0,Book Worm,0,1,4,1329004800,Interesting assortment,type realli likeespeci southern sweet tea actual lot less sweet southern realli make raspberri peach also good over sweet urologist ban artifici sweeten kidney damagebr br care herbal thought bit much green tea assortmentbut found friend like flavorsbr br tast test fine dont think buy assort found realli like
2154,B002BB7EWI,A2R9FU4HOE1QN7,Gary Forbis,0,0,5,1295913600,My 7 month old daughter and 18month old twin niece and nephew love these,awesom know find discount code super inexpens love natur ingredi actual find tast great actual put littl older kid oatmeal love make 90 daughter babi food great go supplementbr br twin niec nephew 18 month old love snack sister say great car ride trip museum high recommend babi food product
2155,B002BB7EWI,A389ZIW141LE50,lcg,0,0,5,1285545600,great product/brilliant packaging!,perfect babi toddler go start use babi version daughter infantit easi throw pouch babi spoon diaper bag daughter older abl feed pouch give toddler pouch squeezesuck fruit packag great fruit tast good well yes tast everyth feed daughter daughter love thisher whole face light hand pouch
2156,B002BB7EWI,A17RAWV3NKL27C,PharmD,0,1,3,1295308800,Glorified baby food,know super trendi right total want love product exact want toddler love product took one tast hand back said gave babi food mom tast right tast like jar babi food consist thicker kid like packag great kid doesnt realli realli expens babi food im go give rest babi toddler least bit interest
2196,B000EPP56K,AO1HIVTUCQZQ2,Mon,0,0,3,1251072000,Not Real Peanut Satay,real peanut satay price bad like get keep desk work day dont time go lunch realli easi make mix togeth cook noodl bag sauc microwav 2 minut get restaur qualiti meal decent 200 box box say 2 serv mix meat anyth realli 1 serv
2294,B002MB2J6I,A2O3GLW7K6PW48,sari azrak,0,0,4,1287792000,its not what im used to...but hey its dietetic and healthy,general like vitalici product corn muffin well 100 calori bad expect anyth like sugarfat laden junk local bakeri sell look elsewher like healthi makeov doesnt quit cut theyr bad amount calori chocol one indulg one good bland breakfast treat especi bake freshbr kid happi get extra snack approvei send school midmorn snack im glad get fuel vitamin
2303,B0002Z9BF8,A18RTEG9VI5BNY,Fern Funk,2,2,5,1241136000,Charlee Bears,awesom littl snack treat favorit pupdog two pekeinges love use train well treat come varieti flavor pup like liver best senior dog perfect dont jaw power teeth use anymor easi carri treat dog whenev want exampl walk around neighborhood 3 calori dont worri weight absolut recommend everi dog owner
2314,B0032JKWGI,A2V2EKUQ5297IA,SJC,9,10,5,1335830400,Great for running recovery,train half marathon start train wasnt take cherri juic increas long run week knee hip sore start take cherri concentr ever sinc felt pretti good take juic everi morn breakfast strong flavor mix well appl orang juic half marathon im run weekend feel readi thank part cherri juic help reduc pain stuff work
2382,B0089SPDUW,AQQLWCMRNDFGI,Steven A. Peterson,9,9,5,1301616000,Oooh. I like this!,fifth differ type coffe ive tri keurig coffe maker right tie newman kcup favorit coupl kcup product seem fine first tast come pale somewhat comparison flavor makesbr br realli smooooooooooooooooooth tast coffe strong tast goe easili rich tast wellbr br bottom line purchas suppli run continu experi differ flavor kcup
2462,B002JX7GVM,A1HRECPV2Q79BG,718tech,1,1,5,1267056000,Amazing (even if it is trendy),admit fulli expect dislik product approach dismiss attitud  someth that trendi cant good right well wrong one coconut water refresh delici bare sweet realli wonder stuff hint pineappl add littl bit acid enhanc basic tast water bet would make great summer drink one didnt get tot tri problem stock cant get
2481,B002JX7GVM,A1B4MIXYVIKMU2,"D. Truong ""Duke of New Mexico""",1,3,2,1282176000,Just didn't taste good to me,im usual pineappl coconut drink drink didnt tast great tast doesnt resembl anyth close pina colada flavor actual difficult tast pineappl coconut tast tangi littl sour like water bit sugar sour yeah realli tast crave im sure everyon reaction drink didnt appeal realli want like though said usual love pineappl coconut drink
2525,B000NY4SZQ,A1IDF30FSGME1L,Shari,2,2,5,1283040000,Thomy Mustard Maniac,best ive ever eaten like mustard likebr horseradish product trybr first experi thomi sever year ago son livedbr germani use send home move back thebr state suppli cut notifi wasbr avail ecstaticbr blend delici goe well favorit cracker andbr chees appet anyth enjoy mustard addsbr littl zingbr give tri wont sorri
2542,B000G7UDPY,A2UP2MW67RZIY1,M. A. Steed,0,1,3,1313971200,I've had worse but I've had better too.,someon live die seafood ive fair share lobster bisqu stuff complet horribl need love decent textur isnt quit thin enough soup bisqu level either tast rather bad littl bland side maryland reach one thing fix thing seafood old bay dump liber amount stir still heat old bay ad nice tast made toler eat doubt ill purchas brand though
2567,B000ED9LDU,A2ZVJRZYAQ1T2V,Roxy,0,0,5,1275782400,Bob's Red Mill Organic Golden Flaxseed,2nd order place bob red mill organ flaxse good qualiti whole flaxse grind littl time sprinkl cereal yogurt keep long time freezer use flaxse year eat tablespoon everi day notic skin softer  plus keep regular ya know mean  flaxse also good way get omega 3s bodi need
2651,B0016FY6H6,A1D1SP3AOXDP4H,Jimmy Lin,0,0,3,1308700800,Not bad.  A bit light.,ive quit sencha powder time stash product one bestpric product therebr br said get per packet bit light side mix 16 oz water bare tast tea im pretti sensit tea flavor get product keep mix 8 oz water  otherwis like your drink flavorless algaebr br otherwis good product good price proper concentr flavor good cant beat health benefit good senchagreen tea
2691,B000SAPXSQ,AFXV6IMYIJC5G,kss,0,0,4,1292544000,pleased,pleas bag larg mean ill sip tea tea perfect start work day rose hibiscus liven sens caffein push type bit faster climb hillock email flavor bit pungent similar blend ive mix caus mysteri natur flavor anoth review point still quit pleasant certain look forward mani morn begun sever cup rose congou
2700,B004Z8F1JI,A1TXUOSHYDUZLO,"S. Petersen ""budget mama""",0,0,3,1347235200,decent but Monin is better...,want love didnt despit sugar free 15 calori per pump opinion need three pump add enough flavor ice vanilla latt go calori count isnt favor would howev say think brand bit sweet calori count isnt over import give go may look side note calori count unimport recommend coconut cream flavora hrefhttpwwwamazoncomgpproductb005zu3jj4amoretti premium coconut cream syrup 750mla delici
2773,B004YUF9FS,A2Z38DS9VDP5D1,Sandu,0,0,5,1336953600,Yummy!,got like 10 warehous deal bargain receiv earli may label say best june rate one per 23 day dont think ill problem finish june know sweet tooth 4 can dent condit gulab jamun insid good describ  soft chees ball 20 per sugar syrup hint cardamom warm eat maximum flavor textur
2802,B000J2DQ46,A3KUC5K5VSJNU9,"Grranimal ""Fuerkraft""",1,3,5,1295136000,"Very Good, Lots of Clams and Natural Recipe",good flavor richfew fat calori standard fare load canola oil like campbel progresso add littl qualiti evoo like california oliv ranch even butter healthier brew prefer way like also add littl half half saut hormel bacon bit red onion garlic add complex flavor impress usual also add gorton wild pacif salmon frozen market basic make healthi fish chowder
